ID,Condition,Trial ,justice,age,participantgender,gender,race,year
16,4,15,10,19,1,1,1,2
16,4,16,1,19,1,1,1,2
16,4,17,6,19,1,1,1,2
16,4,18,7,19,1,1,1,2
16,4,19,3,19,1,1,1,2
17,4,1,9,19,1,1,1,1
17,4,2,9,19,1,1,1,1
17,4,3,9,19,1,1,1,1
17,4,4,9,19,1,1,1,1
17,4,5,9,19,1,1,1,1
17,4,6,9,19,1,1,1,1
17,4,7,10,19,1,1,1,1
17,4,8,9,19,1,1,1,1
17,4,9,9,19,1,1,1,1
17,4,10,8,19,1,1,1,1
17,4,11,10,19,1,1,1,1
17,4,12,8,19,1,1,1,1
17,4,13,5,19,1,1,1,1
17,4,14,3,19,1,1,1,1
17,4,15,4,19,1,1,1,1
17,4,16,5,19,1,1,1,1
17,4,17,3,19,1,1,1,1
17,4,18,4,19,1,1,1,1
17,4,19,6,19,1,1,1,1
18,5,1,9,21,1,1,1,3
18,5,2,9,21,1,1,1,3
18,5,3,9,21,1,1,1,3
18,5,4,9,21,1,1,1,3
18,5,5,9,21,1,1,1,3
18,5,6,9,21,1,1,1,3
18,5,7,9,21,1,1,1,3
18,5,8,9,21,1,1,1,3
18,5,9,9,21,1,1,1,3
18,5,10,9,21,1,1,1,3
18,5,11,9,21,1,1,1,3
18,5,12,9,21,1,1,1,3
18,5,13,9,21,1,1,1,3
18,5,14,9,21,1,1,1,3
18,5,15,8,21,1,1,1,3
18,5,16,9,21,1,1,1,3
18,5,17,9,21,1,1,1,3
18,5,18,10,21,1,1,1,3
18,5,19,9,21,1,1,1,3
19,3,1,4,20,1,1,2,3
19,3,2,6,20,1,1,2,3
19,3,3,7,20,1,1,2,3
19,3,4,8,20,1,1,2,3
19,3,5,8,20,1,1,2,3
19,3,6,10,20,1,1,2,3
19,3,7,4,20,1,1,2,3
19,3,8,2,20,1,1,2,3
19,3,9,8,20,1,1,2,3
19,3,10,2,20,1,1,2,3
19,3,11,3,20,1,1,2,3
19,3,12,3,20,1,1,2,3
19,3,13,7,20,1,1,2,3
19,3,14,8,20,1,1,2,3
19,3,15,7,20,1,1,2,3
19,3,16,8,20,1,1,2,3
19,3,17,9,20,1,1,2,3
19,3,18,7,20,1,1,2,3
19,3,19,6,20,1,1,2,3
20,4,1,10,34,1,1,5,4
20,4,2,10,34,1,1,5,4
20,4,3,10,34,1,1,5,4
20,4,4,10,34,1,1,5,4
20,4,5,10,34,1,1,5,4
20,4,6,10,34,1,1,5,4
